customer_id,order_id,barcodes
10,1,"[""11111111111"", ""11111111318"", ""11111111428""]"
10,139,"[""11111111248"", ""11111111565""]"
10,18,"[""11111111128"", ""11111111335"", ""11111111445""]"
10,192,"[""11111111296"", ""11111111379"", ""11111111613""]"
10,199,"[""11111111303"", ""11111111386"", ""11111111620""]"
10,209,"[""11111111313"", ""11111111396"", ""11111111630""]"
10,45,"[""11111111155"", ""11111111403"", ""11111111472""]"
10,69,"[""11111111179"", ""11111111427"", ""11111111496""]"
11,2,"[""11111111112"", ""11111111319"", ""11111111429""]"
11,200,"[""11111111304"", ""11111111387"", ""11111111621""]"
11,210,"[""11111111314"", ""11111111397"", ""11111111631""]"
12,211,"[""11111111315"", ""11111111398"", ""11111111632""]"
12,3,"[""11111111113"", ""11111111320"", ""11111111430""]"
13,202,"[""11111111306"", ""11111111389"", ""11111111623""]"
13,212,"[""11111111316"", ""11111111399"", ""11111111633""]"
13,4,"[""11111111114"", ""11111111321"", ""11111111431""]"
14,11,"[""11111111121"", ""11111111328"", ""11111111438""]"
14,5,"[""11111111115"", ""11111111322"", ""11111111432""]"
15,12,"[""11111111122"", ""11111111329"", ""11111111439""]"
15,6,"[""11111111116"", ""11111111323"", ""11111111433""]"
16,13,"[""11111111123"", ""11111111330"", ""11111111440""]"
16,7,"[""11111111117"", ""11111111324"", ""11111111434""]"
17,14,"[""11111111124"", ""11111111331"", ""11111111441""]"
17,8,"[""11111111118"", ""11111111325"", ""11111111435""]"
18,15,"[""11111111125"", ""11111111332"", ""11111111442""]"
18,9,"[""11111111119"", ""11111111326"", ""11111111436""]"
19,10,"[""11111111120"", ""11111111327"", ""11111111437""]"
19,107,"[""11111111216"", ""11111111533""]"
19,16,"[""11111111126"", ""11111111333"", ""11111111443""]"
19,94,"[""11111111203"", ""11111111520""]"
19,95,"[""11111111204"", ""11111111521""]"
19,96,"[""11111111205"", ""11111111522""]"
20,17,"[""11111111127"", ""11111111334"", ""11111111444""]"
20,19,"[""11111111129"", ""11111111336"", ""11111111446""]"
21,105,"[""11111111214"", ""11111111531""]"
21,106,"[""11111111215"", ""11111111532""]"
21,109,"[""11111111218"", ""11111111535""]"
21,20,"[""11111111130"", ""11111111337"", ""11111111447""]"
22,110,"[""11111111219"", ""11111111536""]"
22,21,"[""11111111131"", ""11111111338"", ""11111111448""]"
23,111,"[""11111111220"", ""11111111537""]"
23,22,"[""11111111132"", ""11111111339"", ""11111111449""]"
24,112,"[""11111111221"", ""11111111538""]"
24,23,"[""11111111133"", ""11111111340"", ""11111111450""]"
25,24,"[""11111111134"", ""11111111341"", ""11111111451""]"
26,127,"[""11111111236"", ""11111111553""]"
26,213,"[""11111111317"", ""11111111400"", ""11111111665""]"
26,25,"[""11111111135"", ""11111111342"", ""11111111452""]"
27,26,"[""11111111136"", ""11111111343"", ""11111111453""]"
28,27,"[""11111111137"", ""11111111454""]"
29,156,"[""11111111260"", ""11111111577""]"
29,157,"[""11111111261"", ""11111111344"", ""11111111578""]"
29,158,"[""11111111262"", ""11111111345"", ""11111111579""]"
29,159,"[""11111111263"", ""11111111346"", ""11111111580""]"
29,160,"[""11111111264"", ""11111111347"", ""11111111581""]"
29,28,"[""11111111138"", ""11111111455""]"
30,161,"[""11111111265"", ""11111111348"", ""11111111582""]"
30,29,"[""11111111139"", ""11111111456""]"
31,162,"[""11111111266"", ""11111111349"", ""11111111583""]"
31,30,"[""11111111140"", ""11111111457""]"
32,163,"[""11111111267"", ""11111111350"", ""11111111584""]"
32,31,"[""11111111141"", ""11111111458""]"
33,164,"[""11111111268"", ""11111111351"", ""11111111585""]"
33,32,"[""11111111142"", ""11111111459""]"
34,165,"[""11111111269"", ""11111111352"", ""11111111586""]"
34,33,"[""11111111143"", ""11111111460""]"
35,166,"[""11111111270"", ""11111111353"", ""11111111587""]"
35,34,"[""11111111144"", ""11111111461""]"
36,134,"[""11111111243"", ""11111111560""]"
36,135,"[""11111111244"", ""11111111561""]"
36,167,"[""11111111271"", ""11111111354"", ""11111111588""]"
36,35,"[""11111111145"", ""11111111462""]"
37,168,"[""11111111272"", ""11111111355"", ""11111111589""]"
37,36,"[""11111111146"", ""11111111463""]"
38,169,"[""11111111273"", ""11111111356"", ""11111111590""]"
38,37,"[""11111111147"", ""11111111464""]"
39,170,"[""11111111274"", ""11111111357"", ""11111111591""]"
39,46,"[""11111111156"", ""11111111404"", ""11111111473""]"
4,193,"[""11111111297"", ""11111111380"", ""11111111614""]"
4,203,"[""11111111307"", ""11111111390"", ""11111111624""]"
40,171,"[""11111111275"", ""11111111358"", ""11111111592""]"
40,47,"[""11111111157"", ""11111111405"", ""11111111474""]"
41,172,"[""11111111276"", ""11111111359"", ""11111111593""]"
41,48,"[""11111111158"", ""11111111406"", ""11111111475""]"
42,173,"[""11111111277"", ""11111111360"", ""11111111594""]"
42,49,"[""11111111159"", ""11111111407"", ""11111111476""]"
43,174,"[""11111111278"", ""11111111361"", ""11111111595""]"
43,50,"[""11111111160"", ""11111111408"", ""11111111477""]"
44,114,"[""11111111223"", ""11111111540""]"
44,175,"[""11111111279"", ""11111111362"", ""11111111596""]"
44,51,"[""11111111161"", ""11111111409"", ""11111111478""]"
45,176,"[""11111111280"", ""11111111363"", ""11111111597""]"
45,44,"[""11111111154"", ""11111111402"", ""11111111471""]"
45,52,"[""11111111162"", ""11111111410"", ""11111111479""]"
46,177,"[""11111111281"", ""11111111364"", ""11111111598""]"
46,178,"[""11111111282"", ""11111111365"", ""11111111599""]"
46,53,"[""11111111163"", ""11111111411"", ""11111111480""]"
47,100,"[""11111111209"", ""11111111526""]"
47,101,"[""11111111210"", ""11111111527""]"
47,102,"[""11111111211"", ""11111111528""]"
47,103,"[""11111111212"", ""11111111700""]"
47,104,"[""11111111213"", ""11111111530""]"
47,54,"[""11111111164"", ""11111111412"", ""11111111481""]"
48,179,"[""11111111283"", ""11111111366"", ""11111111600""]"
48,55,"[""11111111165"", ""11111111413"", ""11111111482""]"
49,180,"[""11111111284"", ""11111111367"", ""11111111601""]"
49,56,"[""11111111166"", ""11111111414"", ""11111111483""]"
5,194,"[""11111111298"", ""11111111381"", ""11111111615""]"
5,204,"[""11111111308"", ""11111111391"", ""11111111625""]"
50,181,"[""11111111285"", ""11111111368"", ""11111111649""]"
50,57,"[""11111111167"", ""11111111415"", ""11111111484""]"
51,182,"[""11111111286"", ""11111111369"", ""11111111603""]"
51,43,"[""11111111153"", ""11111111401"", ""11111111470""]"
51,58,"[""11111111168"", ""11111111416"", ""11111111485""]"
52,183,"[""11111111287"", ""11111111370"", ""11111111604""]"
52,59,"[""11111111169"", ""11111111417"", ""11111111486""]"
53,184,"[""11111111288"", ""11111111371"", ""11111111605""]"
53,60,"[""11111111170"", ""11111111418"", ""11111111487""]"
54,185,"[""11111111289"", ""11111111372"", ""11111111606""]"
54,61,"[""11111111171"", ""11111111419"", ""11111111488""]"
55,186,"[""11111111290"", ""11111111373"", ""11111111607""]"
55,62,"[""11111111172"", ""11111111420"", ""11111111489""]"
56,187,"[""11111111291"", ""11111111374"", ""11111111608""]"
56,38,"[""11111111148"", ""11111111465""]"
